year,average height,team
2005,73.5,Kansas City Royals
2005,73.5,Detroit Tigers
2005,73.5,New York Yankees
2005,73.6,Cincinnati Reds
2005,73.6,Atlanta Braves
2005,73.6,Washington Nationals
2005,73.6,St. Louis Cardinals
2005,73.7,Chicago White Sox
2005,73.7,Baltimore Orioles
2005,73.7,Boston Red Sox
2005,73.7,Florida Marlins
2005,73.7,Colorado Rockies
2005,73.8,San Francisco Giants
2005,73.9,Milwaukee Brewers
2005,73.9,Arizona Diamondbacks
2005,74.0,Tampa Bay Devil Rays
2005,74.1,Texas Rangers
2005,74.3,Cleveland Indians
2004,73.0,Pittsburgh Pirates
2004,73.0,Kansas City Royals
2004,73.1,Minnesota Twins
2004,73.2,Oakland Athletics
2004,73.2,Houston Astros
2004,73.3,Philadelphia Phillies
2004,73.3,New York Mets
2004,73.3,Atlanta Braves
2004,73.3,San Diego Padres
2004,73.4,St. Louis Cardinals
2004,73.4,Montreal Expos
2004,73.4,Arizona Diamondbacks
2004,73.4,Anaheim Angels
2004,73.4,Baltimore Orioles
2004,73.4,Boston Red Sox
2004,73.4,Toronto Blue Jays
2004,73.4,Cincinnati Reds
2004,73.5,Los Angeles Dodgers
2004,73.5,Seattle Mariners
2004,73.7,Chicago White Sox
2004,73.7,New York Yankees
2004,73.7,Detroit Tigers
2004,73.7,Chicago Cubs
2004,73.8,San Francisco Giants
2004,73.8,Florida Marlins
2004,73.8,Cleveland Indians
2004,73.9,Tampa Bay Devil Rays
2004,74.0,Colorado Rockies
2004,74.1,Texas Rangers
2004,74.2,Milwaukee Brewers
2003,72.9,Los Angeles Dodgers
2003,73.0,Montreal Expos
2003,73.1,Atlanta Braves
2003,73.2,San Francisco Giants
2003,73.3,Anaheim Angels
2003,73.3,Pittsburgh Pirates
2003,73.3,Colorado Rockies
2003,73.3,Oakland Athletics
2003,73.3,Houston Astros
2003,73.3,San Diego Padres
2003,73.3,Minnesota Twins
2003,73.4,Philadelphia Phillies
2003,73.4,Baltimore Orioles
2003,73.4,New York Mets
2003,73.4,Boston Red Sox
2003,73.4,Chicago White Sox
2003,73.5,Chicago Cubs
2003,73.5,Detroit Tigers
2003,73.5,Texas Rangers
2003,73.5,Milwaukee Brewers
2003,73.6,St. Louis Cardinals
2003,73.6,Arizona Diamondbacks
2003,73.6,Cleveland Indians
2003,73.6,Kansas City Royals
2003,73.7,Tampa Bay Devil Rays
2003,73.8,New York Yankees
2003,73.8,Seattle Mariners
2003,73.8,Cincinnati Reds
2003,73.8,Toronto Blue Jays
2003,74.3,Florida Marlins
2002,73.0,Los Angeles Dodgers
2002,73.0,New York Mets
2002,73.0,Oakland Athletics
2002,73.0,Houston Astros
2002,73.1,Atlanta Braves
2002,73.2,Milwaukee Brewers
2002,73.2,Kansas City Royals
2002,73.2,Minnesota Twins
2002,73.3,Philadelphia Phillies
2002,73.3,Baltimore Orioles
2002,73.3,Montreal Expos
2002,73.4,Detroit Tigers
2002,73.4,Pittsburgh Pirates
2002,73.4,Colorado Rockies
2002,73.4,San Francisco Giants
2002,73.4,San Diego Padres
2002,73.4,Anaheim Angels
2002,73.5,Arizona Diamondbacks
2002,73.5,Cincinnati Reds
2002,73.5,Chicago Cubs
2002,73.5,Boston Red Sox
2002,73.6,Seattle Mariners
2002,73.7,Texas Rangers
2002,73.7,Toronto Blue Jays
2002,73.8,Cleveland Indians
2002,73.8,New York Yankees
2002,74.0,Chicago White Sox
2002,74.0,St. Louis Cardinals
2002,74.0,Tampa Bay Devil Rays
2002,74.3,Florida Marlins
2001,72.8,New York Mets
2001,72.9,Atlanta Braves
2001,73.0,Los Angeles Dodgers
2001,73.0,Boston Red Sox
2001,73.0,Philadelphia Phillies
2001,73.1,Oakland Athletics
2001,73.1,Kansas City Royals
2001,73.1,Chicago Cubs
2001,73.2,Minnesota Twins
2001,73.3,Baltimore Orioles
2001,73.3,Cincinnati Reds
2001,73.4,Toronto Blue Jays
2001,73.5,Texas Rangers
2001,73.5,Milwaukee Brewers
2001,73.5,Colorado Rockies
2001,73.5,Houston Astros
2001,73.5,Detroit Tigers
2001,73.5,Arizona Diamondbacks
2001,73.5,Anaheim Angels
2001,73.5,San Francisco Giants
2001,73.6,New York Yankees
2001,73.7,Cleveland Indians
2001,73.7,San Diego Padres
2001,73.7,Pittsburgh Pirates
2001,73.9,Seattle Mariners
2001,73.9,Chicago White Sox
2001,74.0,Montreal Expos
2001,74.1,St. Louis Cardinals
2001,74.3,Tampa Bay Devil Rays
2001,74.3,Florida Marlins
2000,72.7,New York Mets
2000,72.9,Boston Red Sox
2000,72.9,Los Angeles Dodgers
2000,73.0,Texas Rangers
2000,73.2,Philadelphia Phillies
2000,73.2,Anaheim Angels
2000,73.2,Atlanta Braves
2000,73.3,Baltimore Orioles
2000,73.3,Oakland Athletics
2000,73.3,Detroit Tigers
2000,73.3,Toronto Blue Jays
2000,73.4,Colorado Rockies
2000,73.4,San Diego Padres
2000,73.4,Arizona Diamondbacks
2000,73.4,Minnesota Twins
2000,73.4,Pittsburgh Pirates
2000,73.5,Houston Astros
2000,73.5,Chicago Cubs
2000,73.6,San Francisco Giants
2000,73.7,Montreal Expos
2000,73.7,Cincinnati Reds
2000,73.8,Kansas City Royals
2000,73.8,Florida Marlins
2000,73.9,Cleveland Indians
2000,73.9,Milwaukee Brewers
2000,74.0,St. Louis Cardinals
2000,74.0,Chicago White Sox
2000,74.0,New York Yankees
2000,74.0,Tampa Bay Devil Rays
2000,74.1,Seattle Mariners
1999,72.6,Boston Red Sox
1999,72.7,Los Angeles Dodgers
1999,72.8,San Francisco Giants
1999,72.9,San Diego Padres
1999,73.1,Colorado Rockies
1999,73.2,Minnesota Twins
1999,73.2,Oakland Athletics
1999,73.2,New York Mets
1999,73.3,Texas Rangers
1999,73.4,Florida Marlins
1999,73.4,Anaheim Angels
1999,73.4,Philadelphia Phillies
1999,73.5,Houston Astros
1999,73.6,Arizona Diamondbacks
1999,73.6,Atlanta Braves
1999,73.6,Cleveland Indians
1999,73.6,Chicago Cubs
1999,73.7,Montreal Expos
1999,73.7,Detroit Tigers
1999,73.7,Cincinnati Reds
1999,73.8,Milwaukee Brewers
1999,73.8,Chicago White Sox
1999,73.8,Baltimore Orioles
1999,73.8,Toronto Blue Jays
1999,73.8,St. Louis Cardinals
1999,73.9,Kansas City Royals
1999,73.9,Seattle Mariners
1999,74.0,Pittsburgh Pirates
1999,74.0,Tampa Bay Devil Rays
1999,74.1,New York Yankees
1998,72.7,New York Mets
1998,72.9,Boston Red Sox
1998,72.9,San Francisco Giants
1998,73.1,St. Louis Cardinals
1998,73.2,Atlanta Braves
1998,73.2,San Diego Padres
1998,73.3,Pittsburgh Pirates
1998,73.3,Kansas City Royals
