year,average weight,team
2000,195.3,St. Louis Cardinals
2000,194.5,Chicago Cubs
2000,194.3,Toronto Blue Jays
2000,194.3,New York Yankees
2000,193.9,Pittsburgh Pirates
2000,193.6,San Diego Padres
2000,193.2,Baltimore Orioles
2000,192.8,San Francisco Giants
2000,192.8,Colorado Rockies
2000,192.7,Texas Rangers
2000,192.7,Arizona Diamondbacks
2000,191.9,Boston Red Sox
2000,191.7,New York Mets
2000,191.4,Anaheim Angels
2000,190.9,Detroit Tigers
2000,190.2,Philadelphia Phillies
2000,187.6,Los Angeles Dodgers
1999,201.8,Milwaukee Brewers
1999,201.6,Cincinnati Reds
1999,199.5,Baltimore Orioles
1999,199.3,Pittsburgh Pirates
1999,199.0,New York Yankees
1999,198.8,Tampa Bay Devil Rays
1999,198.2,Chicago White Sox
1999,198.0,Florida Marlins
1999,197.7,Cleveland Indians
1999,197.1,Minnesota Twins
1999,196.2,Atlanta Braves
1999,196.0,Montreal Expos
1999,195.9,Kansas City Royals
1999,195.9,Houston Astros
1999,195.8,Chicago Cubs
1999,195.8,Arizona Diamondbacks
1999,194.9,Toronto Blue Jays
1999,194.5,Oakland Athletics
1999,194.1,St. Louis Cardinals
1999,193.5,Seattle Mariners
1999,193.0,Philadelphia Phillies
1999,192.2,New York Mets
1999,191.0,Colorado Rockies
1999,189.7,Anaheim Angels
1999,188.8,Boston Red Sox
1999,188.7,Los Angeles Dodgers
1999,188.5,Detroit Tigers
1999,188.3,San Francisco Giants
1999,187.6,Texas Rangers
1999,187.3,San Diego Padres
1998,199.1,Minnesota Twins
1998,198.1,Cleveland Indians
1998,197.7,Milwaukee Brewers
1998,197.5,Cincinnati Reds
1998,197.1,Houston Astros
1998,196.5,New York Yankees
1998,195.8,Florida Marlins
1998,194.9,Tampa Bay Devil Rays
1998,194.7,Chicago White Sox
1998,194.6,Oakland Athletics
1998,194.1,Chicago Cubs
1998,194.0,Philadelphia Phillies
1998,193.9,Pittsburgh Pirates
1998,193.8,Los Angeles Dodgers
1998,193.4,Baltimore Orioles
1998,193.2,Toronto Blue Jays
1998,193.0,Montreal Expos
1998,192.5,New York Mets
1998,192.4,Atlanta Braves
1998,192.4,Arizona Diamondbacks
1998,192.0,Colorado Rockies
1998,191.8,Kansas City Royals
1998,191.7,Anaheim Angels
1998,191.5,Seattle Mariners
1998,191.3,St. Louis Cardinals
1998,191.1,Detroit Tigers
1998,190.6,Texas Rangers
1998,189.4,Boston Red Sox
1998,189.2,San Diego Padres
1998,186.1,San Francisco Giants
1997,197.9,Oakland Athletics
1997,197.5,Florida Marlins
1997,196.9,Minnesota Twins
1997,196.3,Pittsburgh Pirates
1997,195.2,New York Yankees
1997,194.9,Colorado Rockies
1997,194.2,Cleveland Indians
1997,193.9,Milwaukee Brewers
1997,192.8,Cincinnati Reds
1997,192.7,Philadelphia Phillies
1997,192.6,Boston Red Sox
1997,192.3,Chicago White Sox
1997,192.2,San Diego Padres
1997,192.1,Baltimore Orioles
1997,192.0,Houston Astros
1997,191.9,St. Louis Cardinals
1997,191.3,Chicago Cubs
1997,190.7,Detroit Tigers
1997,190.6,Montreal Expos
1997,190.4,Los Angeles Dodgers
1997,190.1,Toronto Blue Jays
1997,189.5,San Francisco Giants
1997,188.9,Atlanta Braves
1997,188.7,Kansas City Royals
1997,187.8,Texas Rangers
1997,187.2,Seattle Mariners
1997,186.6,Anaheim Angels
1997,186.2,New York Mets
1996,195.9,Cincinnati Reds
1996,195.2,Toronto Blue Jays
1996,194.1,Milwaukee Brewers
1996,194.0,Oakland Athletics
1996,193.3,Houston Astros
1996,193.2,Pittsburgh Pirates
1996,193.1,San Diego Padres
1996,193.0,Baltimore Orioles
1996,192.6,Montreal Expos
1996,192.5,Colorado Rockies
1996,191.9,Seattle Mariners
1996,191.7,San Francisco Giants
1996,191.6,Florida Marlins
1996,191.5,Philadelphia Phillies
1996,191.2,Minnesota Twins
1996,191.0,New York Yankees
1996,190.9,Chicago White Sox
1996,190.9,Boston Red Sox
1996,190.6,California Angels
1996,190.4,St. Louis Cardinals
1996,190.4,Chicago Cubs
1996,190.2,Los Angeles Dodgers
1996,189.8,Detroit Tigers
1996,189.7,Texas Rangers
1996,189.4,Atlanta Braves
1996,189.3,Kansas City Royals
1996,188.9,New York Mets
